timestamp,power_w
2025-11-30T21:16:32.768846,78.7
2025-11-30T21:16:33.778904,73.6
2025-11-30T21:16:33.789874,73.6
2025-11-30T21:16:34.818198,94.7
2025-11-30T21:16:35.768178,71.1
2025-11-30T21:16:36.768229,75.3
2025-11-30T21:16:37.836288,84.2
2025-11-30T21:16:37.842932,84.2
2025-11-30T21:16:39.777404,93.1
2025-11-30T21:16:39.784328,93.1
2025-11-30T21:16:40.764503,70.7
2025-11-30T21:16:41.781274,54.8
2025-11-30T21:16:41.825687,54.8
2025-11-30T21:16:42.516529,54.8
2025-11-30T21:16:42.779254,13
2025-11-30T21:16:43.765479,13.1
2025-11-30T21:16:46.804854,35.5
2025-11-30T21:16:47.782085,198.8
2025-11-30T21:16:47.788872,198.8
2025-11-30T21:16:48.780680,60.6
2025-11-30T21:16:49.778037,97.3
2025-11-30T21:16:49.784169,97.3
2025-11-30T21:16:50.801450,89
2025-11-30T21:16:51.809648,96.8
2025-11-30T21:16:52.515124,96.8
2025-11-30T21:16:53.812390,109.9
2025-11-30T21:16:53.818825,109.9
2025-11-30T21:16:54.779079,119
2025-11-30T21:16:55.775584,97.6
2025-11-30T21:16:55.783626,97.6
2025-11-30T21:16:56.764402,103.4
2025-11-30T21:16:57.775968,136.9
2025-11-30T21:16:57.782745,136.9
2025-11-30T21:16:58.794331,113.1
2025-11-30T21:16:59.776979,145.1
2025-11-30T21:16:59.783093,145.1
2025-11-30T21:17:00.009898,145.1
2025-11-30T21:17:00.789340,100.2
2025-11-30T21:17:01.797734,96.7
2025-11-30T21:17:02.515731,96.7
2025-11-30T21:17:02.771990,94.3
2025-11-30T21:17:03.794846,124.6
2025-11-30T21:17:03.801352,124.6
2025-11-30T21:17:04.761763,135.5
2025-11-30T21:17:05.765202,126
2025-11-30T21:17:06.766547,39.7
2025-11-30T21:17:07.775838,13.1
2025-11-30T21:17:07.817661,13.1
2025-11-30T21:17:11.890950,95.1
2025-11-30T21:17:11.897205,95.1
2025-11-30T21:17:12.535899,95.1
2025-11-30T21:17:12.784100,254
2025-11-30T21:17:13.774404,96.9
2025-11-30T21:17:13.780908,96.9
2025-11-30T21:17:14.770657,109.1
2025-11-30T21:17:15.775837,122.1
2025-11-30T21:17:15.784320,122.1
2025-11-30T21:17:16.762316,152.3
2025-11-30T21:17:17.820791,145.7
2025-11-30T21:17:18.775075,133.3
2025-11-30T21:17:19.791765,162
2025-11-30T21:17:19.801960,162
2025-11-30T21:17:20.762891,135.1
2025-11-30T21:17:21.787189,152.2
2025-11-30T21:17:21.793338,152.2
2025-11-30T21:17:22.520462,152.2
2025-11-30T21:17:22.756658,45.7
2025-11-30T21:17:23.797365,6.9
2025-11-30T21:17:23.809722,6.9
2025-11-30T21:17:28.786104,142.6
2025-11-30T21:17:29.772037,192.4
2025-11-30T21:17:29.787435,192.4
2025-11-30T21:17:31.776149,135.3
2025-11-30T21:17:31.782380,135.3
2025-11-30T21:17:32.514387,135.3
2025-11-30T21:17:32.803051,172.1
2025-11-30T21:17:33.772100,211
2025-11-30T21:17:33.779830,211
2025-11-30T21:17:34.759457,183.3
2025-11-30T21:17:35.772693,192.1
2025-11-30T21:17:36.766451,196.6
2025-11-30T21:17:37.790646,154.6
2025-11-30T21:17:37.798055,154.6
2025-11-30T21:17:38.804140,205
2025-11-30T21:17:39.763261,202.4
2025-11-30T21:17:40.761617,145.9
2025-11-30T21:17:41.773479,161.8
2025-11-30T21:17:41.783890,161.8
2025-11-30T21:17:42.512678,161.8
2025-11-30T21:17:43.786768,181
2025-11-30T21:17:43.794501,181
2025-11-30T21:17:44.759739,134.7
2025-11-30T21:17:45.832998,137.6
2025-11-30T21:17:47.779450,182.3
2025-11-30T21:17:47.785390,182.3
2025-11-30T21:17:48.760174,7.4
2025-11-30T21:17:49.757381,7.1
2025-11-30T21:17:52.535445,7
2025-11-30T21:17:53.802395,245.7
2025-11-30T21:17:53.808718,245.7
2025-11-30T21:17:54.755962,140
2025-11-30T21:17:55.793074,199.1
2025-11-30T21:17:55.800934,199.1
2025-11-30T21:17:56.756999,175.7
2025-11-30T21:17:57.773858,128.9
2025-11-30T21:17:57.781815,128.9
2025-11-30T21:17:58.755830,198.2
2025-11-30T21:17:59.792532,128.3
2025-11-30T21:17:59.971275,128.3
2025-11-30T21:18:00.757455,112.2
2025-11-30T21:18:01.775307,142.9
2025-11-30T21:18:01.781981,142.9
2025-11-30T21:18:02.510254,142.9
2025-11-30T21:18:02.755213,165.7
2025-11-30T21:18:03.758383,163.9
2025-11-30T21:18:04.760854,196.4
2025-11-30T21:18:05.801754,150.6
2025-11-30T21:18:05.807561,150.6
2025-11-30T21:18:06.754889,161.8
2025-11-30T21:18:09.847205,162
2025-11-30T21:18:10.757539,148.7
2025-11-30T21:18:11.805275,136.1
2025-11-30T21:18:11.811534,136.1
2025-11-30T21:18:12.508845,136.1
2025-11-30T21:18:12.754279,94.2
2025-11-30T21:18:13.770932,7
2025-11-30T21:18:13.813679,7
2025-11-30T21:18:17.833962,23.6
2025-11-30T21:18:17.841924,23.6
2025-11-30T21:18:18.754781,262
2025-11-30T21:18:19.771750,142.9
2025-11-30T21:18:19.777365,142.9
2025-11-30T21:18:21.767213,127
2025-11-30T21:18:21.775109,127
2025-11-30T21:18:22.508992,127
2025-11-30T21:18:22.756822,192.8
2025-11-30T21:18:23.770376,114.1
2025-11-30T21:18:23.775689,114.1
2025-11-30T21:18:24.753762,148.3
2025-11-30T21:18:25.753758,150
2025-11-30T21:18:26.758246,217.7
2025-11-30T21:18:27.825916,128.3
2025-11-30T21:18:27.832994,128.3
2025-11-30T21:18:28.753304,183.2
2025-11-30T21:18:29.769089,170.9
2025-11-30T21:18:29.774210,170.9
2025-11-30T21:18:30.756420,116.6
2025-11-30T21:18:31.758693,164.6
2025-11-30T21:18:32.510668,164.6
2025-11-30T21:18:32.752967,135.2
2025-11-30T21:18:33.754746,178.7
2025-11-30T21:18:34.755877,141.6
2025-11-30T21:18:35.757976,178.6
2025-11-30T21:18:36.760597,161.8
2025-11-30T21:18:37.767254,58
2025-11-30T21:18:37.772651,58
2025-11-30T21:18:38.752897,22.1
2025-11-30T21:18:39.766749,28.4
2025-11-30T21:18:39.773728,28.4
2025-11-30T21:18:41.752331,30.7
2025-11-30T21:18:42.517787,30.7
2025-11-30T21:18:45.819426,32.5
2025-11-30T21:18:52.539572,32.2
2025-11-30T21:19:00.024064,32.6
2025-11-30T21:19:02.575546,32.5
2025-11-30T21:19:12.610978,32.6
2025-11-30T21:19:22.545791,32.4
2025-11-30T21:19:22.757091,38.3
2025-11-30T21:19:23.753292,38.5
2025-11-30T21:19:25.766552,33.8
2025-11-30T21:19:25.771626,33.8
2025-11-30T21:19:26.755162,25.2
2025-11-30T21:19:31.871299,8.5
2025-11-30T21:19:31.878363,8.5
2025-11-30T21:19:32.508905,8.5
2025-11-30T21:19:32.765614,7
2025-11-30T21:19:33.770534,17.9
2025-11-30T21:19:33.776536,17.9
2025-11-30T21:19:34.770975,196.1
2025-11-30T21:19:35.799508,124.5
2025-11-30T21:19:35.808842,124.5
2025-11-30T21:19:36.779111,117.8
2025-11-30T21:19:37.768719,136.3
